Committee,Amount
BOB CORKER FOR SENATE 2018 INC,207.91
TREY GOWDY FOR CONGRESS,335.4
PROGRESSIVE CHANGE CAMPAIGN COMMITTEE,243.15999999999997
GRAHAM FOR CONGRESS,143.67000000000002
SALUD CARBAJAL FOR CONGRESS,253.25
WELCH FOR CONGRESS,290.8
CATHERINE CORTEZ MASTO FOR SENATE,323.0
PALAZZO FOR CONGRESS,194.12
JIM JORDAN FOR CONGRESS,722.3900000000001
MULLIN FOR CONGRESS,397.87
BERNIE 2016,13264.220000000001
SCHNEIDER FOR CONGRESS,503.48
STRICKLAND FOR SENATE,287.36
LOUISE SLAUGHTER RE-ELECTION COMMITTEE,278.61
SCOTT WALKER INC,461.59
ELIZABETH FOR MA INC,1034.7
JOE MONTES FOR CONGRESS 2016,156.03
COMSTOCK FOR CONGRESS,759.0500000000001
BRADY FOR CONGRESS,2444.37
KLINE FOR CONGRESS,849.8700000000001
BOB BRADY FOR CONGRESS,255.47
DON BACON FOR CONGRESS,883.77
MATSUI FOR CONGRESS,162.06
NADLER FOR CONGRESS,141.51
PALLONE FOR CONGRESS,49.0
FRIENDS OF PAT TOOMEY,668.92
TITUS FOR CONGRESS,832.26
GARRET GRAVES FOR CONGRESS,279.21000000000004
NOLAND FOR CONGRESS,1627.26
JAMES MARTER FOR UNITED STATES SENATE,210.87
MARTIN HEINRICH FOR SENATE,134.9
PETE SESSIONS FOR CONGRESS,1003.0999999999999
MONTANANS FOR TESTER,602.9
FRIENDS OF CHET BEILER,120.71
AL FRANKEN FOR SENATE ,620.4499999999999
GRAVES FOR CONGRESS,994.37
TRAVIS COUNTY REPUBLICAN PARTY FEDERAL COMMITTEE,15.13
ED EMERY FOR CONGRESS CAMPAIGN COMMITTEE,33.42
CAMPAIGN COMMITTEE FOR MARK FREEMAN,100.04
CITIZENS FOR HARKIN,2333.77
FRIENDS OF PATRICK MURPHY,414.98
FRIENDS OF JIM INHOFE,299.27
FRIENDS OF JOHN THUNE,504.96
GRETCHEN DRISKELL FOR CONGRESS,479.46000000000004
NEW PAC,2317.2
KAREN BASS FOR CONGRESS,251.5
FRIENDS OF JOHN BARRASSO,1288.68
MIKULSKI FOR SENATE COMMITTEE,342.21000000000004
FRIENDS OF JARED POLIS COMMITTEE,291.49
CROWLEY FOR CONGRESS,535.5
"RYAN FOR CONGRESS, INC.",131.22
MIKE ROGERS FOR CONGRESS,150.0
HELENE SCHNEIDER FOR CONGRESS,99.77
TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,419.27
FRIENDS OF DAN KILDEE,74.37
CITIZENS TO ELECT RICK LARSEN,647.86
DENHAM FOR CONGRESS,671.44
"JEB 2016, INC.",7113.489999999999
"RAND PAUL FOR PRESIDENT, INC.",4872.599999999999
VALADAO FOR CONGRESS,66.6
VICKY HARTZLER FOR CONGRESS,204.56
"FRIENDS OF TODD YOUNG, INC.",365.54
PAUL COOK FOR CONGRESS,93.03
"MARSHA BLACKBURN FOR CONGRESS, INC.",840.0
"TROTT FOR CONGRESS, INC.",98.14
JOHN CARNEY FOR CONGRESS,247.79
DIANA DEGETTE FOR CONGRESS,182.14
HEIDI FOR SENATE,113.35
ROBERT HURT FOR CONGRESS,440.15
FRIENDS OF MICHELLE,388.31000000000006
KAY GRANGER CAMPAIGN FUND,442.4
JUSTIN FAREED FOR CONGRESS,47.01
FLORES FOR CONGRESS,222.08
FRIENDS FOR GREGORY MEEKS,495.13
SANTORUM FOR PRESIDENT 2016,951.1
FRIENDS OF JACK KINGSTON,44.4
ALEX LAW FOR CONGRESS,235.81
JASON LEWIS FOR CONGRESS,1330.72
ROBERT ADERHOLT FOR CONGRESS,464.26
GREENE FOR CONGRESS,26.49
LYNCH FOR CONGRESS 16,166.95
DENISE GITSHAM FOR CONGRESS,236.9
MISSOURIANS FOR KANDER,5186.65
BERGMANFORCONGRESS,21.0
WYDEN FOR SENATE,3237.8199999999997
CATHY MCMORRIS RODGERS FOR CONGRESS,25.0
ROB HOGG FOR US SENATE,68.36
ENGEL FOR CONGRESS,3411.6
MICHAEL BURGESS FOR CONGRESS,139.86
JINDAL FOR PRESIDENT,321.25
ACTBLUE,358.14
CRISIS ACTORS,436.69
JEFF DUNCAN FOR CONGRESS,133.2
TIM WALZ FOR US CONGRESS,852.39
LOUIE GOHMERT FOR CONGRESS COMMITTEE,161.01
FRIENDS OF CJ FOR CONGRESS ,2040.34
FRIENDS OF DAVE JOYCE,232.03
TOM RICE FOR CONGRESS,51.42
ELECT PETER CLEMENS FOR CONGRESS,19.0
RE-ELECT MCGOVERN COMMITTEE,265.72
SANYAL FOR CONGRESS,57.0
PETE LINDNER FOR CONGRESS,25.0
BYRNE FOR CONGRESS,256.68
SCALISE FOR CONGRESS,3169.88
LANCE FOR CONGRESS,209.21
ROHRABACHER FOR CONGRESS,221.78000000000003
LUCAS FOR CONGRESS,96.69
COLLINS FOR SENATOR,353.89
GERSON FOR CONGRESS,142.55
CARPER FOR SENATE,558.25
MENENDEZ FOR SENATE,96.73
HEANEY FOR CONGRESS,93.38
STEVE KNIGHT FOR CONGRESS,164.96
STEVE ISRAEL FOR CONGRESS COMMITTEE,2700.0
TAMMY BALDWIN FOR SENATE,131.19
PEOPLE FOR PATTY MURRAY,579.25
KASICH FOR AMERICA,2202.4
"POMPEO FOR KANSAS, INC",142.35000000000002
COMMITTEE TO ELECT JD WINTEREGG,34.83
CONNOLLY FOR CONGRESS,623.96
SUSAN DAVIS FOR CONGRESS,584.01
ADAM CLAYTON POWELL FOR CONGRESS,160.0
COTTON FOR SENATE,1451.91
SHAHEEN FOR SENATE,222.0
KIND FOR CONGRESS COMMITTEE,275.96000000000004
HILLARY FOR AMERICA,21428.329999999998
HUDSON FOR CONGRESS,714.9599999999999
"YODER FOR CONGRESS, INC",541.1300000000001
UPTON FOR ALL OF US,95.5
RANDY PERKINS FOR CONGRESS,1354.42
VOLUNTEERS FOR NEHLEN,259.03000000000003
